    ,    ,    ,B&C+SI,,,,,,,,,B&C+LSI,,,,,,,,,GBD,,,,,,,,,sB&C+LSI,,,,Greedy,,B&C+LSI+MILP,,,,,CP+LSI,,,CP+BI,,
       m,       n,   gamma,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),N,v,UB^2,T(G%),v,T(G%),CT,N,v,T^MILP,T(G%),v,It,T(G%),v,It
     800,     100,       1,   0.5,     0.1,       1,    264362,     0.0,    264362,    264362,    1493,    264362,   0.5,     0.1,       1,    264362,     0.0,    264362,    264362,    1493,    264362,  18.9,     1.1,     659,    264362,     8.8,    290005,    135363,     892,    280391,   3.2,     611,    264362,    300452,   0.1,    260384,   0.5,     0.0,       1,    264362,<0.01,  98.5,    264362,       5, 314.2,    264362,       9
     800,     100,       2,  74.1,     6.3,    4362,    264939,     0.8,    267069,    259844,     900,    267011,   9.7,     5.4,     477,    264939,     0.2,    265565,    261269,     909,    265408, 291.4,     2.2,   13241,    264939,     6.2,    282469,    204786,     892,    278819,  88.4,    2163,    264939,    301733,   0.2,    263906,6471.1,  6466.2,     477,    264939,    0.13, 798.5,    264939,       6,2854.3,    264939,      10
     800,     100,       3,(0.4),     8.0,  107090,    263928,     1.9,    269072,    256767,     881,    269026, 182.1,    11.1,    5250,    263928,     0.6,    265654,    259446,     873,    265481, 329.6,     2.3,    8108,    263928,     5.2,    278322,    200389,     888,    273417, 965.9,   16187,    263928,    299853,   0.3,    263078,(2.5),  7198.9,       1,    259446,    0.26,6549.2,    263928,       9,      --,        --,       8
     800,     100,      NH, 676.4,     8.6,   16619,    244915,     1.0,    247347,    240557,     929,    247191,  26.5,     8.0,    1636,    244915,     0.3,    245695,    239917,     943,    245612, 159.1,     2.4,    3861,    244915,     7.1,    263637,    171463,     886,    259166, 276.2,    2316,    244915,    260910,   0.2,    242384,(2.4),  7199.1,       1,    239917,    0.32,1344.6,    244915,       8,4138.2,    244915,      10
     800,     200,       1,   0.7,     0.1,       1,    227512,     0.0,    227512,    227512,    1501,    227512,   0.7,     0.1,       1,    227512,     0.0,    227512,    227512,    1501,    227512,  32.2,     2.1,    1035,    227512,    14.5,    265954,    115018,     938,    241425,   8.5,    1814,    227512,    264711,   0.5,    225316,   0.7,     0.1,       1,    227512,<0.01, 420.8,    227512,       6,3121.0,    227512,      11
     800,     200,       2,2030.0,    12.7,  108707,    223636,     1.2,    226444,    215279,     927,    226411,  37.1,    11.3,     959,    223636,     0.5,    224726,    220495,     968,    224514,5577.4,     3.2,  144263,    223636,    11.1,    251582,    145782,     931,    231908, 209.6,    3537,    223636,    270084,   0.6,    222172,(1.9),  7198.3,       1,    220495,    0.22,      --,        --,       2,      --,        --,       2
     800,     200,       3,(1.1),    18.6,   44362,    222457,     2.5,    228243,    213378,     921,    228235,2792.8,    22.3,   53408,    222457,     1.0,    224726,    215385,     910,    224721,(0.2),     5.7,   80712,    222457,     9.6,    246200,    167646,     934,    231873,(0.3),   55747,    222457,    271137,   0.9,    221170,(52.5),  7200.0,       1,    149683,    0.54,      --,        --,       2,      --,        --,       2
     800,     200,      NH,(0.6),    15.2,  113743,    204097,     1.9,    207989,    194391,     983,    207966,1212.3,    20.1,   43382,    204104,     0.8,    205790,    201216,     978,    205655,(0.1),     4.6,  129845,    204104,    14.6,    239039,    125950,     942,    226255,3022.3,   41417,    204104,    219672,   0.8,    202501,(51.0),  7199.8,       1,    147649,    0.67,      --,        --,       1,      --,        --,       2
     800,     300,       1,   1.0,     0.1,       1,    198515,     0.0,    198515,    198515,    1570,    198515,   1.0,     0.1,       1,    198515,     0.0,    198515,    198515,    1570,    198515, 193.6,     2.5,    8647,    198515,    19.8,    247642,     67033,     982,    228424,  18.0,    3562,    198515,    209434,   1.2,    197373,   1.0,     0.1,       1,    198515,<0.01,      --,        --,       1,      --,        --,       1
