    ,    ,    ,B&C+LSI,,,,,,,,,GBD,,,,,,,,,Greedy,,sB&C+LSI,,,
       m,       n,   gamma,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),CT,N,v,LPG%,UB^1,LB^1,C^1,UB^2,T(G%),v,T(G%),N,v,UB^2
    1500,     100,       1,   1.5,     0.1,       1,    522641,     0.0,    522641,    522641,    2392,    522641,  48.8,     2.4,     881,    522641,     5.7,    554404,    370282,    1652,    534542,   0.3,    520811,  21.4,    1199,    522641,    568195
    1500,     200,       1,   2.3,     0.2,       1,    459323,<0.1,    459389,    458563,    2562,    459323, 446.2,     3.7,   22170,    459323,    10.4,    512878,    239919,    1671,    490254,   1.4,    456504,  78.4,     696,    459323,    519947
    1500,     300,       1,   2.8,     0.2,       1,    417261,     0.0,    417261,    417261,    2861,    417261, 121.9,     5.7,    1729,    417261,    13.1,    480161,    227316,    1723,    461686,   3.8,    409915,  47.3,    2986,    417261,    436703
    1500,     500,       1,   4.7,     0.4,       1,    382618,     0.0,    382618,    382618,    2869,    382618,(0.2),     6.7,   96436,    382618,    19.2,    473641,     69582,    1800,    433677,  11.3,    374388, 113.8,     586,    382618,    406396
    1500,    1000,       1,   8.0,     0.8,       1,    302819,     0.0,    302819,    302819,    3020,    302819,(0.9),    21.3,   32132,    302800,    28.8,    425254,     33666,    1942,    369466,  45.6,    296146, 221.0,     554,    302819,    322065
    1500,    2000,       1,  10.1,     1.4,       1,    215965,     0.0,    215965,    215965,    3178,    215965,(2.6),    37.3,   40400,    215667,    42.7,    376626,     15535,    2102,    289764, 175.2,    211614, 584.3,     603,    215965,    230313
    2000,     100,       1,   1.9,     0.2,       1,    714512,<0.1,    714515,    714502,    2898,    714512,  34.8,     2.8,     720,    714512,     4.0,    744409,    572322,    2159,    732681,   0.4,    710440,  22.7,     815,    714512,    765256
    2000,     200,       1,   3.8,     0.2,       1,    645031,<0.1,    645041,    645031,    3435,    645031, 100.2,     5.7,    1773,    645031,     8.6,    705885,    422495,    2177,    682209,   1.8,    638181, 115.7,     587,    645031,    718958
    2000,     300,       1,   5.8,     0.5,       1,    593787,     0.0,    593787,    593787,    3699,    593787, 170.8,     7.9,    2416,    593787,    11.5,    671306,    305026,    2263,    639609,   4.8,    586321, 129.5,     576,    593787,    680114
    2000,     500,       1,   9.3,     0.6,       1,    532907,<0.1,    532919,    530126,    3836,    532907,(0.4),    13.7,   40290,    532907,    16.3,    636885,    144724,    2357,    605473,  13.6,    525691, 407.4,     629,    532907,    562616
    2000,    1000,       1,  14.8,     1.0,       1,    433099,<0.1,    433109,    433097,    3998,    433099,(0.7),    27.7,   32789,    432951,    24.4,    573222,     96648,    2510,    494838,  54.3,    427195, 532.6,     578,    433099,    460119
    2000,    2000,       1,  20.3,     1.9,       1,    321601,<0.1,    321628,    321601,    4055,    321601,(0.7),    44.6,   15958,    321601,    37.8,    517005,     35379,    2722,    425237, 212.1,    316829, 472.9,     581,    321601,    343311
    3000,     100,       1,   2.7,     0.3,       1,   1102447,     0.0,   1102447,   1102447,    4284,   1102447,  35.4,     3.6,     609,   1102447,     3.4,   1141194,    967796,    2595,   1118169,   0.9,   1100397,  61.4,    3769,   1102447,   1162606
