Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0xcab6f26f
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [9e-06, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.249407e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 424940.724    0    - -1.011e+15 424940.724   100%     -    0s
     0     0 372989.282    0   54 -1.011e+15 372989.282   100%     -    0s
     0     0 298050.560    0  110 -1.011e+15 298050.560   100%     -    2s
H    0     0                    226125.84701 297977.522  31.8%     -    3s
H    0     0                    228086.06744 297977.522  30.6%     -    3s
     0     2 262792.584    0  112 228086.067 262792.584  15.2%     -    4s
     1     3 262653.156    1  111 228086.067 262792.584  15.2%  76.0    5s
    24    26 261656.689   17  101 228086.067 262792.584  15.2%  47.5   10s
    29    31 248704.183   20  116 228086.067 262792.584  15.2%   203   15s
    36    38 247301.294   24  118 228086.067 262792.584  15.2%   223   20s
   112   114 242969.233   86   37 228086.067 262792.584  15.2%   119   25s
*  153   133             125    242760.79712 262792.584  8.25%  90.8   25s
   217   193 246450.148   55   51 242760.797 262447.073  8.11%  96.3   30s
*  270   195             106    244243.63820 262447.073  7.45%  80.0   31s
*  285   202             115    244934.79647 262447.073  7.15%  76.8   31s
   319   230 246477.003   33   82 244934.796 262446.080  7.15%  86.0   35s
*  377   255              87    245332.06186 262446.080  6.98%  77.4   36s
   435   297 248845.751    6  131 245332.062 262376.035  6.95%  89.0   40s
   503   355 247773.621   12  123 245332.062 262348.442  6.94%  89.6   45s
   538   389 248029.212   30  110 245332.062 262348.442  6.94%  88.4  158s
   540   390 247549.897   14  132 245332.062 249643.231  1.76%  88.1  173s
   541   391 248706.195    6  156 245332.062 248706.195  1.38%  87.9  179s
   542   392 246989.364   25  144 245332.062 248600.845  1.33%  87.8  180s
   546   394 245467.551   59  156 245332.062 248317.152  1.22%  87.1  190s
   551   398 248277.100   15  159 245332.062 248277.100  1.20%  86.3  195s
   552   398 248118.868   29  157 245332.062 248162.632  1.15%  86.2  202s
   557   402 246206.371   84  155 245332.062 248149.706  1.15%  85.4  207s
   558   402 245886.996   40  157 245332.062 248079.154  1.12%  85.3  213s
   561   404 246016.657   37  159 245332.062 248079.154  1.12%  84.8  217s
   562   405 246720.376   51  157 245332.062 248064.099  1.11%  84.7  222s
   569   410 245545.182   57  153 245332.062 248022.070  1.10%  83.6  225s
   577   415 246386.875   62  158 245332.062 248022.070  1.10%  82.5  230s
   580   419 247926.128   13  156 245332.062 247971.853  1.08%   104  235s
   586   423 247693.945   16  136 245332.062 247938.499  1.06%   105  240s
   595   429 247469.227   20  124 245332.062 247938.499  1.06%   107  245s
   605   436 247239.197   25  110 245332.062 247938.499  1.06%   109  250s
   613   441 247096.724   29   99 245332.062 247938.499  1.06%   109  255s
   629   452 246877.136   37   79 245332.062 247938.499  1.06%   109  260s
H  631   429                    246600.42702 247938.499  0.54%   108  260s
H  661   388                    246867.94222 247938.499  0.43%   105  262s
   678   382 247869.839   13  146 246867.942 247938.449  0.43%   104  265s
   684   386 247588.011   16  141 246867.942 247938.449  0.43%   106  270s
   703   399 247148.476   26  117 246867.942 247938.449  0.43%   109  275s
   730   402 247843.064   13  159 246867.942 247925.394  0.43%   109  281s
   737   407 247522.277   17  141 246867.942 247925.394  0.43%   112  285s
   775   418 247459.430   15  154 246867.942 247924.921  0.43%   115  290s
   804   437 247165.510   30  108 246867.942 247924.921  0.43%   118  295s
   845   439 247438.954   16  149 246867.942 247794.460  0.38%   118  300s
H  904   414                    246941.03581 247794.460  0.35%   118  304s
   917   409 246943.012   55   45 246941.036 247794.460  0.35%   117  305s
   970   420 247646.660   15  149 246941.036 247694.404  0.31%   118  310s
  1008   427     cutoff   29      246941.036 247694.404  0.31%   119  315s
  1049   426 247153.061   23  127 246941.036 247693.685  0.30%   119  320s
  1061   425 247541.929   18  145 246941.036 247692.801  0.30%   120  325s
  1095   434 247465.929   21  125 246941.036 247692.458  0.30%   121  330s
  1135   446 246974.536   26  106 246941.036 247684.618  0.30%   120  335s
  1157   444 247654.029   16  151 246941.036 247673.721  0.30%   121  341s
  1168   450 247075.490   26  116 246941.036 247673.721  0.30%   121  345s
