Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     429416.072   100.0       0.3      1000
2            182315.433     373453.491    51.2       1.5      1999
3            224753.697     304523.047    26.2       3.7      1974
4            230711.385     271964.452    15.2       7.2      1832
5            232717.452     262890.391    11.5      10.1      1586
6            232717.452     258236.577     9.9      14.3       880
7            232717.452     255800.256     9.0      18.3       547
8            232717.452     254339.865     8.5      22.1       421
9            232717.452     253505.482     8.2      26.3       269
10           232717.452     253041.602     8.0      30.1       163
11           232717.452     252854.309     8.0      33.7        81
12           232717.452     252807.074     7.9      37.2        61
13           232717.452     252739.697     7.9      40.6        27
14           232717.452     252722.062     7.9      44.0        16
15           232717.452     252706.978     7.9      47.3        14
16           232717.452     252694.814     7.9      50.5        13
17           232717.452     252686.310     7.9      53.6         9
18           232717.452     252667.568     7.9      57.0        11
19           232717.452     252661.487     7.9      60.1         4
20           232717.452     252657.721     7.9      63.2         1
21           232717.452     252656.079     7.9      66.3         0

CPU time spent in the first stage: 71.21 sec
Upper bound returned at the end of the first stage: 252656.079309
Objective value of the optimal solution or the best incumbent at the end of the first stage: 232717.452384
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 1161
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 2166 rows, 1300 columns and 22834 nonzeros
Model fingerprint: 0x4303ceb7
Variable types: 1000 continuous, 300 integer (0 binary)
Coefficient statistics:
  Matrix range     [2e-07, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 5e+05]

Loaded user MIP start with objective 232717

Presolve removed 1004 rows and 0 columns
Presolve time: 0.04s
Presolved: 1162 rows, 1300 columns, 16634 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)

Root relaxation: objective 2.526434e+05, 470 iterations, 0.05 seconds (0.08 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 252643.432    0  151 232717.452 252643.432  8.56%     -    1s
     0     0 252537.657    0  135 232717.452 252537.657  8.52%     -    1s
     0     0 252511.866    0  143 232717.452 252511.866  8.51%     -    2s
     0     2 252511.128    0  143 232717.452 252511.128  8.51%     -    2s
    75    77 249564.681   44  105 232717.452 252490.677  8.50%  66.4    5s
   152   154 244881.384   91   90 232717.452 252490.677  8.50%  82.7   10s
   239   241 238002.918  152   58 232717.452 252490.677  8.50%  79.6   15s
   378   367 251251.647   14  125 232717.452 252471.898  8.49%  70.0   20s
   436   425 246775.438   54   95 232717.452 252471.898  8.49%  76.5   25s
   506   495 242822.367   97   74 232717.452 252471.898  8.49%  77.6   30s
   519   507 238271.398  149  143 232717.452 252471.898  8.49%  77.4   37s
   521   508 239149.807  141  148 232717.452 252471.898  8.49%  77.1   54s
   522   509 248381.413   47  158 232717.452 251913.777  8.25%  77.0   64s
   523   510 236373.707  164  161 232717.452 251822.510  8.21%  76.8   65s
   528   513 241518.540  123  164 232717.452 251796.448  8.20%  76.1   74s
   529   514 232759.220  231  165 232717.452 251466.801  8.06%  75.9   84s
   530   514 250664.934   38  163 232717.452 251457.549  8.05%  75.8   85s
   540   521 236622.170  162  166 232717.452 251306.044  7.99%  74.4   93s
   546   525 248254.034   49  169 232717.452 251298.027  7.98%  73.6   95s
   550   528 251280.267    6  170 232717.452 251280.267  7.98%  73.0  100s
   561   536 250831.490   35  148 232717.452 251280.267  7.98%  83.0  117s
   562   537 245668.833   70  162 232717.452 251280.267  7.98%  82.9  127s
   566   540 245164.507   82  169 232717.452 251280.267  7.98%  82.3  130s
   568   541 245165.859   82  170 232717.452 251280.267  7.98%  82.0  139s
   569   542 251222.463   19  170 232717.452 251222.463  7.95%  81.8  143s
   573   544 241574.507  125  174 232717.452 251200.415  7.94%  81.3  145s
   577   547 248686.444   43  173 232717.452 251163.016  7.93%  80.7  151s
   579   550 251130.200   19  167 232717.452 251163.016  7.93%  90.3  156s
   583   553 250991.990   21  164 232717.452 251129.957  7.91%  91.4  161s
   586   555 250892.679   22  153 232717.452 251129.957  7.91%  92.6  166s
   589   557 250848.368   24  156 232717.452 251129.957  7.91%  93.3  170s
   593   560 250716.507   26  154 232717.452 251129.957  7.91%  94.6  175s
   598   563 250552.963   28  151 232717.452 251129.957  7.91%  96.2  181s
   602   566 250512.285   30  145 232717.452 251129.957  7.91%  96.7  185s
   606   568 250406.275   32  140 232717.452 251129.957  7.91%  97.3  196s
   609   570 250129.799   34  146 232717.452 251129.957  7.91%  99.3  200s
