Set parameter TimeLimit to value 7200
Setting GBD: A two-stage implementation of the stage-of-the-art generalized Benders decomposition (GBD) approach proposed by Lin & Tian (2021).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     429416.072   100.0       0.3      1000
2            103816.887     392435.405    73.5       1.4      1000
3            158139.055     332913.721    52.5       2.5       970
4            158139.055     294214.063    46.3       4.0       800
5            158139.055     284427.661    44.4       5.5       511
6            158139.055     281989.696    43.9       6.8       256
7            158139.055     281437.564    43.8       7.9       184
8            158139.055     281242.206    43.8       9.0        86
9            158139.055     281177.103    43.8      10.0        29
10           158139.055     281157.070    43.8      11.0         5
11           158139.055     281156.165    43.8      12.0         5
12           158139.055     281156.133    43.8      12.9         1
13           158139.055     281155.818    43.8      13.9         0

CPU time spent in the first stage: 15.12 sec
Upper bound returned at the end of the first stage: 281155.818001
Objective value of the optimal solution or the best incumbent at the end of the first stage: 158139.054855
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 1199
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 2202 rows, 1300 columns and 33189 nonzeros
Model fingerprint: 0x6de04be8
Variable types: 1000 continuous, 300 integer (0 binary)
Coefficient statistics:
  Matrix range     [6e-11, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-05, 5e+05]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.

Loaded user MIP start with objective 158139

Presolve removed 1002 rows and 0 columns
Presolve time: 0.06s
Presolved: 1200 rows, 1300 columns, 29579 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)

Root relaxation: objective 2.696336e+05, 307 iterations, 0.03 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 269633.643    0   50 158139.055 269633.643  70.5%     -    0s
     0     0 269633.643    0   50 158139.055 269633.643  70.5%     -    0s
     0     2 269630.987    0   50 158139.055 269630.987  70.5%     -    0s
*  109   109              98    239871.82266 261040.886  8.83%  66.8    2s
*  223   205             106    240943.34332 260931.994  8.30%  62.1    3s
   272   246 248566.683   44   66 240943.343 260795.955  8.24%  63.7    5s
*  360   329             128    241045.08259 260795.955  8.19%  57.5    5s
H  490   442                    241081.48168 260701.808  8.14%  57.8    8s
*  491   441             124    241084.86254 260701.808  8.14%  57.7    8s
   532   475 251158.042   20   50 241084.863 257889.404  6.97%  61.0   14s
   534   476 254248.768    5  113 241084.863 254248.768  5.46%  60.7   19s
   535   477 245674.423   60  134 241084.863 251145.825  4.17%  60.6   23s
   538   479 244476.313   69  141 241084.863 250306.853  3.83%  60.3   26s
   540   480 249211.140   33  148 241084.863 249211.140  3.37%  60.1   30s
   542   482 242462.577   75  155 241084.863 248889.003  3.24%  59.8   35s
   547   487 248640.721   13  155 241084.863 248766.301  3.19%  76.1   40s
   556   493 248458.869   17  136 241084.863 248642.846  3.13%  78.0   45s
   568   501 248048.448   23  127 241084.863 248642.846  3.13%  80.4   50s
   579   508 248059.498   29  114 241084.863 248642.846  3.13%  82.6   55s
   591   516 247441.279   35  100 241084.863 248642.846  3.13%  84.0   60s
   605   526 247164.275   42   91 241084.863 248642.846  3.13%  85.4   65s
   621   536 246922.265   50   86 241084.863 248642.846  3.13%  86.3   70s
   719   602 244456.566   99   28 241084.863 248642.846  3.13%  84.6   75s
H  771   569                    244040.60765 248642.846  1.89%  82.1   76s
*  774   540             127    244040.86573 248642.846  1.89%  81.8   76s
   777   538 248491.132   14  153 244040.866 248642.692  1.89%  82.6   80s
   784   543 248165.531   18  148 244040.866 248642.692  1.89%  85.8   85s
   808   559 247536.694   30  119 244040.866 248642.692  1.89%  89.6   92s
   825   570 247238.790   38  116 244040.866 248642.692  1.89%  91.6   95s
   896   618 245928.655   74   62 244040.866 248642.692  1.89%  93.6  100s
  1028   664 248160.134   14  158 244040.866 248623.077  1.88%  90.1  105s
  1051   679 247707.786   26  137 244040.866 248623.077  1.88%  93.4  110s
  1092   706 246836.623   46  109 244040.866 248623.077  1.88%  96.9  115s
  1190   771 244310.043   95   53 244040.866 248623.077  1.88%  96.1  120s
  1230   779 247983.797   19  141 244040.866 248623.077  1.88%  96.9  125s
  1254   795 247306.475   31  124 244040.866 248623.077  1.88%  98.7  130s
  1307   831 246500.093   58   74 244040.866 248623.077  1.88%   100  135s
  1444   922 244612.139  126   20 244040.866 248623.077  1.88%  96.5  140s
* 1515   708             162    245091.00161 248623.077  1.44%  94.2  141s
  1532   706 247981.828   20  144 245091.002 248562.605  1.42%  95.4  145s
