Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1300 columns and 1000 nonzeros
Model fingerprint: 0x2f4a87f5
Variable types: 1000 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [1e-05, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1300 columns, 0 nonzeros
Variable types: 1000 continuous, 300 integer (300 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.294161e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 429416.072    0    - -1.011e+15 429416.072   100%     -    0s
     0     0 373453.491    0   57 -1.011e+15 373453.491   100%     -    0s
H    0     0                    182315.43305 373453.491   105%     -    2s
     0     0 302662.350    0  123 182315.433 302662.350  66.0%     -    3s
     0     2 302449.796    0  123 182315.433 302449.796  65.9%     -    5s
    17    19 261852.827    9  100 182315.433 262626.625  44.1%   235   10s
    34    36 252181.064   20  104 182315.433 262626.625  44.1%   220   15s
    40    42 248614.650   24  111 182315.433 262626.625  44.1%   298   20s
    54    56 246947.964   35  103 182315.433 262626.625  44.1%   281   25s
    86    88 243528.421   57   66 182315.433 262626.625  44.1%   232   30s
*  161   144             119    241209.23610 262626.625  8.88%   148   33s
   164   143 251886.340    3  135 241209.236 262568.571  8.86%   164   36s
   214   193 248506.027   44   78 241209.236 262568.571  8.86%   146   40s
   284   261     cutoff   97      241209.236 262568.571  8.86%   134   45s
*  297   253              98    241306.71182 262568.571  8.81%   129   45s
   315   267 249162.507   15  128 241306.712 262477.698  8.77%   139   50s
   395   347 245490.292   82   42 241306.712 262477.698  8.77%   129   55s
   441   391 249921.209    5  142 241306.712 262460.298  8.77%   129   60s
   473   423 246955.513   33  107 241306.712 262460.298  8.77%   129   65s
   517   467 244831.161   69   53 241306.712 262460.298  8.77%   127   70s
   528   477 245522.464   79  123 241306.712 262460.298  8.77%   125   98s
   530   478 248999.721   37  144 241306.712 250194.605  3.68%   125  124s
   531   479 242191.340   70  163 241306.712 249574.767  3.43%   125  132s
   532   480 242488.351  101  165 241306.712 249470.836  3.38%   124  143s
   533   480 249156.153   18  167 241306.712 249156.153  3.25%   124  153s
   534   481 249140.520   16  167 241306.712 249140.520  3.25%   124  161s
   535   482 249007.403    6  173 241306.712 249007.403  3.19%   124  171s
   536   482 244797.861   71  172 241306.712 249005.696  3.19%   123  179s
   537   483 245541.160   51  176 241306.712 248945.123  3.17%   123  189s
   538   484 247327.213   31  176 241306.712 248937.426  3.16%   123  198s
   539   484 247386.605   26  176 241306.712 248937.426  3.16%   123  211s
   540   487 248763.788   10  171 241306.712 248919.202  3.15%   145  215s
   543   489 248671.957   11  167 241306.712 248765.656  3.09%   147  221s
   546   491 248401.639   13  163 241306.712 248765.656  3.09%   148  225s
   549   493 248265.966   14  158 241306.712 248765.656  3.09%   149  231s
   553   496 248194.514   16  152 241306.712 248765.656  3.09%   150  236s
   557   498 248187.767   18  156 241306.712 248765.656  3.09%   151  240s
   562   502 247665.937   21  143 241306.712 248765.656  3.09%   153  246s
   566   504 247540.248   23  141 241306.712 248765.656  3.09%   153  250s
   570   507 247489.378   25  135 241306.712 248765.656  3.09%   153  255s
   576   511 247165.957   28  127 241306.712 248765.656  3.09%   154  260s
   581   514 246767.142   30  122 241306.712 248765.656  3.09%   155  265s
   586   518 246728.043   33  118 241306.712 248765.656  3.09%   155  270s
   593   522 246046.317   36  109 241306.712 248765.656  3.09%   155  276s
   599   526 246383.276   39  108 241306.712 248765.656  3.09%   155  280s
   604   530 246283.696   42  104 241306.712 248765.656  3.09%   155  285s
   613   536 246088.343   46  103 241306.712 248765.656  3.09%   154  290s
   623   542 245816.888   51   95 241306.712 248765.656  3.09%   152  295s
   630   547 245639.823   55   90 241306.712 248765.656  3.09%   153  300s
   649   560 244490.949   64   55 241306.712 248765.656  3.09%   153  305s
   700   594 243869.788   90   30 241306.712 248765.656  3.09%   147  310s
*  722   546             102    243801.30140 248765.656  2.04%   144  311s
   726   543 248469.143   11  161 243801.301 248764.726  2.04%   144  320s
   728   544 248243.347   12  164 243801.301 248764.726  2.04%   146  325s
   737   550 247833.284   17  146 243801.301 248764.726  2.04%   147  330s
   752   560 246858.543   24  130 243801.301 248764.726  2.04%   148  335s
   775   576 246509.519   36  110 243801.301 248764.726  2.04%   148  340s
   808   598 244974.105   52   73 243801.301 248764.726  2.04%   147  345s
