Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     427718.958   100.0       0.4      1000
2            183489.928     363515.647    49.5       1.8      1995
3            205156.064     276319.587    25.8       4.1      1950
4            210837.057     242541.219    13.1       6.8      1666
5            214602.115     234307.723     8.4       9.5      1124
6            214602.115     230966.796     7.1      13.0       698
7            214602.115     229230.429     6.4      16.9       303
8            214602.115     228725.856     6.2      20.4       204
9            214602.115     228235.612     6.0      23.7       129
10           214602.115     228003.954     5.9      26.9        73
11           214602.115     227963.715     5.9      30.1        48
12           214602.115     227928.794     5.8      33.4        39
13           214602.115     227859.316     5.8      36.6        25
14           214602.115     227826.488     5.8      39.7        30
15           214602.115     227818.863     5.8      42.8        14
16           214602.115     227792.512     5.8      46.1         3
17           214602.115     227792.456     5.8      49.1         0

CPU time spent in the first stage: 52.75 sec
Upper bound returned at the end of the first stage: 227792.455806
Objective value of the optimal solution or the best incumbent at the end of the first stage: 214602.114931
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 1204
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 2209 rows, 1400 columns and 23455 nonzeros
Model fingerprint: 0xb2aee59f
Variable types: 1000 continuous, 400 integer (0 binary)
Coefficient statistics:
  Matrix range     [4e-09, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [4e-04, 5e+05]

Loaded user MIP start with objective 214602

Presolve removed 1004 rows and 0 columns
Presolve time: 0.05s
Presolved: 1205 rows, 1400 columns, 16855 nonzeros
Variable types: 1000 continuous, 400 integer (400 binary)

Root relaxation: objective 2.277513e+05, 517 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 227751.341    0  152 214602.115 227751.341  6.13%     -    0s
     0     0 227709.115    0  157 214602.115 227709.115  6.11%     -    1s
     0     2 227707.463    0  157 214602.115 227707.463  6.11%     -    1s
H   91    91                    219535.53469 227707.463  3.72%  36.7    1s
*   95    87              89    221533.16514 227707.463  2.79%  35.2    1s
   323   288 226676.169   10  151 221533.165 227610.699  2.74%  42.9    5s
   555   470 226764.201    6  151 221533.165 227572.488  2.73%  47.3   10s
   563   476 226860.607   20  162 221533.165 227535.781  2.71%  47.4   19s
   564   477 222072.954   52  161 221533.165 226929.807  2.44%  47.3   22s
   571   482 221543.637   78  169 221533.165 226396.975  2.20%  46.7   27s
   576   485 224846.572   51  175 221533.165 226327.350  2.16%  46.3   31s
   583   490 225219.778   26  178 221533.165 226142.515  2.08%  45.7   35s
   592   497 224885.935   32  162 221533.165 226134.188  2.08%  56.5   42s
   593   498 226134.188   22  168 221533.165 226134.188  2.08%  56.4   45s
   600   503 226070.170   11  172 221533.165 226070.170  2.05%  55.8   52s
   606   507 222554.666   55  179 221533.165 225994.449  2.01%  55.2   55s
   623   520 225867.774   27  169 221533.165 225919.642  1.98%  66.8   60s
   637   529 225659.583   34  152 221533.165 225919.642  1.98%  70.1   65s
   659   544 225403.133   45  146 221533.165 225919.642  1.98%  72.2   70s
   685   561 224941.202   58  125 221533.165 225919.642  1.98%  73.2   75s
   711   579 223507.365   71  117 221533.165 225919.642  1.98%  76.2   80s
   797   636 222348.350  114   60 221533.165 225919.642  1.98%  74.9   85s
   902   670 225518.538   28  154 221533.165 225917.665  1.98%  71.6   90s
   931   689 225194.332   43  138 221533.165 225917.665  1.98%  74.1   95s
  1047   767 222448.304  101   52 221533.165 225917.665  1.98%  74.5  100s
  1171   809 225543.123   29  160 221533.165 225898.827  1.97%  70.5  105s
  1229   848 224536.865   58  110 221533.165 225898.827  1.97%  73.2  110s
  1327   904 225682.097   26  163 221533.165 225898.806  1.97%  73.2  115s
  1378   938 224628.021   52  123 221533.165 225898.806  1.97%  75.8  120s
  1562  1037 225543.952   25  161 221533.165 225828.700  1.94%  72.5  126s
  1606  1066 224610.184   47  117 221533.165 225828.700  1.94%  74.4  130s
H 1697   728                    223047.58908 225828.700  1.25%  73.8  133s
  1736   712 225609.171   28  161 223047.589 225826.673  1.25%  72.8  136s
  1761   729 225264.849   41  149 223047.589 225826.673  1.25%  74.2  140s
  1831   775 223224.952   76   74 223047.589 225826.673  1.25%  75.5  145s
  1882   801 224670.525   48  124 223047.589 225797.171  1.23%  76.9  150s
  1974   846 225537.018   26  173 223047.589 225790.686  1.23%  77.3  155s
  2004   866 225014.604   41  138 223047.589 225790.686  1.23%  78.9  160s
  2076   915 223494.207   77   64 223047.589 225790.686  1.23%  80.1  165s
