Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1400 columns and 1000 nonzeros
Model fingerprint: 0xaad40aff
Variable types: 1000 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -1.01138e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1400 columns, 0 nonzeros
Variable types: 1000 continuous, 400 integer (400 binary)
Found heuristic solution: objective -1.01138e+15

Root relaxation: objective 4.277190e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 427718.958    0    - -1.011e+15 427718.958   100%     -    0s
     0     0 363515.647    0   62 -1.011e+15 363515.647   100%     -    0s
H    0     0                    183489.92755 363515.647  98.1%     -    1s
     0     0 266487.735    0  130 183489.928 266487.735  45.2%     -    2s
H    0     0                    207473.65506 266401.181  28.4%     -    3s
     0     2 235602.510    0  108 207473.655 235602.510  13.6%     -    4s
     2     4 235506.165    1  107 207473.655 235602.510  13.6%  27.5    5s
    16    18 226853.469    8  134 207473.655 235423.534  13.5%   230   11s
    18    20 226863.986    9  134 207473.655 235423.534  13.5%   290   15s
    27    29 225723.597   16  125 207473.655 235423.534  13.5%   265   20s
    64    66 223496.489   44   83 207473.655 235423.534  13.5%   169   25s
*  166   142             131    221043.64781 235423.534  6.51%  90.7   29s
   169   141 226563.999    3  135 221043.648 235418.579  6.50%  99.3   31s
   256   228 223085.649   73   48 221043.648 235418.579  6.50%  84.6   35s
*  332   281             141    221158.72793 235418.579  6.45%  69.1   36s
   372   315 224650.036   36  103 221158.728 235417.546  6.45%  74.0   40s
*  512   387             155    221457.32248 235417.546  6.30%  62.7   43s
   525   392 225944.615   10  120 221457.322 235389.034  6.29%  65.6   45s
   531   397 226226.865    8  130 221457.322 235389.034  6.29%  65.4  166s
   533   398 224552.955   43  135 221457.322 226593.258  2.32%  65.2  176s
   534   399 225605.312   13  158 221457.322 225605.312  1.87%  65.1  187s
   539   402 223416.170   63  164 221457.322 225512.722  1.83%  64.5  191s
   540   403 224229.609   46  173 221457.322 225217.321  1.70%  64.3  197s
   546   407 225085.642   29  167 221457.322 225185.439  1.68%  63.6  202s
   547   408 222389.193   59  167 221457.322 225096.135  1.64%  63.5  207s
   553   412 221470.684  127  172 221457.322 225054.039  1.62%  62.8  213s
   554   412 223689.217   60  173 221457.322 224985.151  1.59%  62.7  219s
   558   415 224985.151   11  174 221457.322 224985.151  1.59%  62.3  222s
   559   416 223693.949   41  168 221457.322 224931.611  1.57%  62.2  227s
   567   421 223658.548   60  166 221457.322 224894.915  1.55%  61.3  230s
   575   428 221996.638   89  130 221457.322 224871.184  1.54%  81.0  324s
   577   429 224871.184   17  135 221457.322 224871.184  1.54%  80.7  333s
   578   430 221577.321  107  172 221457.322 224871.184  1.54%  80.6  339s
   579   431 224087.997   44  165 221457.322 224871.184  1.54%  80.5  340s
   585   435 224439.505   46  170 221457.322 224871.184  1.54%  79.6  345s
   586   435 222246.156   62  172 221457.322 224857.908  1.54%  79.5  351s
   590   438 223330.214   47  175 221457.322 224857.908  1.54%  79.0  357s
   591   439 224841.126   32  169 221457.322 224841.126  1.53%  78.8  364s
   593   440 222401.330  101  173 221457.322 224837.196  1.53%  78.6  365s
   596   442 223235.791   77  177 221457.322 224808.432  1.51%  78.2  372s
   600   445 224808.432   17  175 221457.322 224808.432  1.51%  77.6  376s
   605   448 224058.812   49  174 221457.322 224795.473  1.51%  77.0  380s
   611   454 224691.104   23  157 221457.322 224750.569  1.49%  94.2  385s
   619   459 224554.279   27  154 221457.322 224750.569  1.49%  96.2  390s
   629   466 224307.934   32  141 221457.322 224750.569  1.49%  97.5  395s
   639   473 224263.240   37  135 221457.322 224750.569  1.49%  99.2  400s
   649   479 224095.565   42  125 221457.322 224750.569  1.49%   100  405s
   660   487 223891.393   48  121 221457.322 224750.569  1.49%   101  410s
   674   496 223604.761   55  100 221457.322 224750.569  1.49%   101  415s
   707   518 222291.427   71   73 221457.322 224750.569  1.49%   100  420s
H  708   491                    223004.87222 224750.569  0.78%  99.5  420s
   752   483 224637.231   23  167 223004.872 224750.342  0.78%  96.3  426s
   756   486 224568.342   25  164 223004.872 224750.342  0.78%  97.5  430s
   768   494 224169.561   31  151 223004.872 224750.342  0.78%   100  435s
   792   510 223577.940   43  115 223004.872 224750.342  0.78%   103  440s
   834   513 224572.833   22  164 223004.872 224731.099  0.77%   103  445s
