Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     421091.515   100.0       0.4      1000
2            177324.476     356193.054    50.2       1.6      1734
3            199008.773     272596.131    27.0       3.4      1700
4            212987.334     240925.266    11.6       5.8      1576
5            214259.552     232233.930     7.7       9.2       998
6            214259.552     229158.320     6.5      12.6       579
7            214259.552     227855.363     6.0      16.0       342
8            214259.552     227222.474     5.7      19.4       199
9            214259.552     226945.937     5.6      22.8        95
10           214259.552     226866.230     5.6      25.9        46
11           214259.552     226840.594     5.5      28.7        29
12           214259.552     226813.850     5.5      31.7        17
13           214259.552     226807.662     5.5      34.5         3
14           214259.552     226805.538     5.5      37.3         1
15           214259.552     226805.486     5.5      40.2         0

CPU time spent in the first stage: 43.41 sec
Upper bound returned at the end of the first stage: 226805.485709
Objective value of the optimal solution or the best incumbent at the end of the first stage: 214259.552063
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 1232
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 2237 rows, 1400 columns and 26964 nonzeros
Model fingerprint: 0x5aef3013
Variable types: 1000 continuous, 400 integer (0 binary)
Coefficient statistics:
  Matrix range     [2e-06, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-04, 5e+05]

Loaded user MIP start with objective 214260

Presolve removed 1005 rows and 0 columns
Presolve time: 0.05s
Presolved: 1232 rows, 1400 columns, 20361 nonzeros
Variable types: 1000 continuous, 400 integer (400 binary)

Root relaxation: objective 2.267673e+05, 481 iterations, 0.02 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 226767.278    0  148 214259.552 226767.278  5.84%     -    0s
     0     0 226604.896    0  139 214259.552 226604.896  5.76%     -    1s
     0     0 226496.165    0  133 214259.552 226496.165  5.71%     -    1s
     0     0 226480.032    0  134 214259.552 226480.032  5.70%     -    1s
     0     0 226477.320    0  137 214259.552 226477.320  5.70%     -    1s
     0     0 226476.102    0  138 214259.552 226476.102  5.70%     -    1s
     0     0 226475.241    0  138 214259.552 226475.241  5.70%     -    1s
     0     0 226424.453    0  143 214259.552 226424.453  5.68%     -    1s
     0     0 226402.163    0  147 214259.552 226402.163  5.67%     -    1s
     0     0 226396.052    0  149 214259.552 226396.052  5.66%     -    1s
     0     0 226394.296    0  145 214259.552 226394.296  5.66%     -    1s
     0     0 226393.638    0  148 214259.552 226393.638  5.66%     -    1s
     0     0 226383.238    0  147 214259.552 226383.238  5.66%     -    2s
     0     0 226380.228    0  145 214259.552 226380.228  5.66%     -    2s
     0     0 226365.067    0  146 214259.552 226365.067  5.65%     -    2s
     0     0 226363.901    0  146 214259.552 226363.901  5.65%     -    3s
     0     2 226362.476    0  146 214259.552 226362.476  5.65%     -    3s
    72    74 222188.976   43  102 214259.552 226341.700  5.64%  65.3    5s
*  319   299             241    215028.62863 226341.700  5.26%  45.5    9s
   323   299 226201.638    3  145 215028.629 226339.331  5.26%  46.1   10s
   432   408 222589.935   79   78 215028.629 226339.331  5.26%  52.4   15s
   515   490 215790.097  163  146 215028.629 226339.331  5.26%  50.7   21s
   517   491 223023.448   34  151 215028.629 226339.331  5.26%  50.5   28s
   518   492 215047.778  231  152 215028.629 226141.714  5.17%  50.4   31s
   526   497 221217.338  105  156 215028.629 225976.839  5.09%  49.6   35s
   534   503 224259.353   54  163 215028.629 225754.875  4.99%  48.9   40s
   546   512 220784.541  123  146 215028.629 225643.220  4.94%  56.6   46s
   548   513 215136.493  202  155 215028.629 225643.220  4.94%  56.4   51s
   549   514 216866.498  143  154 215028.629 225643.220  4.94%  56.3   55s
   558   520 215836.388  155  159 215028.629 225552.621  4.89%  55.4   60s
   571   531 225496.894   22  158 215028.629 225499.525  4.87%  62.3   65s
   587   541 224996.087   30  141 215028.629 225495.206  4.87%  64.1   70s
   605   553 224656.439   39  127 215028.629 225495.206  4.87%  66.4   75s
   616   561 224197.954   45  132 215028.629 225495.206  4.87%  69.0   80s
   635   573 223500.051   54  118 215028.629 225495.206  4.87%  69.8   85s
   666   594 223064.909   70  105 215028.629 225495.206  4.87%  71.2   90s
   731   637 218683.102  102   73 215028.629 225495.206  4.87%  73.4   95s
*  848   637             163    216834.58537 225495.206  3.99%  68.6   99s
   850   637 225412.636   23  156 216834.585 225494.356  3.99%  68.8  101s
   872   651 224711.264   34  132 216834.585 225494.356  3.99%  70.5  105s
   909   676 224070.002   53   99 216834.585 225494.356  3.99%  72.3  110s
