Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 1000 rows, 1400 columns and 1000 nonzeros
Model fingerprint: 0x3c6c79ff
Variable types: 1000 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [2e-04, 1e+00]
Found heuristic solution: objective -1.00211e+15
Presolve removed 1000 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1400 columns, 0 nonzeros
Variable types: 1000 continuous, 400 integer (400 binary)
Found heuristic solution: objective -1.00211e+15

Root relaxation: objective 4.210915e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 421091.515    0    - -1.002e+15 421091.515   100%     -    0s
     0     0 356193.054    0   64 -1.002e+15 356193.054   100%     -    0s
     0     0 356193.054    0   64 -1.002e+15 356193.054   100%     -    5s
H    0     0                    177324.47569 356193.054   101%     -    5s
     0     0 260696.697    0  102 177324.476 260696.697  47.0%     -    6s
H    0     0                    208759.74839 260610.856  24.8%     -    8s
H    0     0                    208790.36923 260610.856  24.8%     -    8s
     0     2 235784.334    0   99 208790.369 235784.334  12.9%     -    9s
     7     9 235514.717    4   98 208790.369 235757.346  12.9%  32.7   10s
    14    16 228966.051    7  106 208790.369 235757.346  12.9%   260   17s
    15    17 227004.988    8  109 208790.369 235757.346  12.9%   307   20s
    18    20 226195.234    9  117 208790.369 235757.346  12.9%   371   25s
    28    30 225034.981   16  124 208790.369 235757.346  12.9%   313   30s
    71    73 223378.415   50   71 208790.369 235757.346  12.9%   165   35s
*  145   128             111    219639.08073 235757.346  7.34%   111   39s
   148   127 225715.877    2  119 219639.081 235747.495  7.33%   124   41s
   216   195 223058.748   56   58 219639.081 235747.495  7.33%   103   46s
   309   273 224768.102    2  128 219639.081 235636.202  7.28%  93.2   50s
   347   311 221961.877   33   83 219639.081 235636.202  7.28%  98.3   55s
*  416   280              97    220652.02919 235636.202  6.79%  87.1   57s
   433   289 223902.493   15  116 220652.029 235632.881  6.79%  92.3   60s
*  521   303              92    221277.78171 235632.881  6.49%  86.7   63s
   526   300 225229.015    3  129 221277.782 235484.519  6.42%  91.3   65s
   536   309 224315.545    6  102 221277.782 235484.519  6.42%  91.6  240s
   538   310 225031.093   17  129 221277.782 225253.138  1.80%  91.2  256s
   539   311 222618.706   43  151 221277.782 224613.107  1.51%  91.0  262s
   543   314 222499.563   50  152 221277.782 224534.821  1.47%  90.4  267s
   544   314 221795.253   84  149 221277.782 224325.914  1.38%  90.2  274s
   545   315 222499.563   50  159 221277.782 224325.914  1.38%  90.0  275s
   548   317 222447.416   51  159 221277.782 224315.228  1.37%  89.6  280s
   549   318 224250.572   29  163 221277.782 224250.572  1.34%  89.4  287s
   553   320 222556.246   47  163 221277.782 224244.911  1.34%  88.7  293s
   554   321 224208.566    8  163 221277.782 224208.566  1.32%  88.6  299s
   555   322 223914.901   40  163 221277.782 224208.566  1.32%  88.4  300s
   558   324 223962.887   34  169 221277.782 224177.066  1.31%  87.9  305s
   566   329 224165.952   13  166 221277.782 224165.952  1.31%  86.7  311s
   570   334 224085.533   15  162 221277.782 224116.967  1.28%   101  315s
   576   338 223917.343   18  158 221277.782 224116.967  1.28%   102  320s
   584   343 223839.622   22  149 221277.782 224116.967  1.28%   103  325s
   591   348 223269.940   25  133 221277.782 224116.967  1.28%   104  330s
   600   354 223464.245   30  120 221277.782 224116.967  1.28%   105  335s
   606   358 223371.225   33  111 221277.782 224116.967  1.28%   105  340s
   614   363 222990.634   37   99 221277.782 224116.967  1.28%   107  345s
   625   370 222627.491   42   84 221277.782 224116.967  1.28%   107  350s
   645   384 222448.923   52   78 221277.782 224116.967  1.28%   107  355s
*  687   350              74    222409.08061 224116.967  0.77%   104  359s
   691   346 224030.485   15  152 222409.081 224116.074  0.77%   104  362s
   694   348 223939.033   17  145 222409.081 224116.074  0.77%   105  365s
   707   357 223645.098   23  136 222409.081 224116.074  0.77%   107  372s
   725   369 223317.678   32  107 222409.081 224116.074  0.77%   109  375s
H  783   336                    222720.24005 224116.074  0.63%   107  378s
   805   328 223811.385   17  142 222720.240 223995.739  0.57%   106  380s
   858   353 223703.632   17  147 222720.240 223995.010  0.57%   108  385s
   902   382 222802.812   39   85 222720.240 223995.010  0.57%   110  390s
   945   396 223246.585   32  103 222720.240 223974.558  0.56%   111  395s
   975   402 223939.928   18  141 222720.240 223974.387  0.56%   111  400s
   992   413 223469.550   27  116 222720.240 223974.387  0.56%   113  405s
  1053   443 222797.597   57   44 222720.240 223974.387  0.56%   111  410s
