Set parameter TimeLimit to value 7200
Setting B&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     353463.490   100.0       0.2       800
2            149683.237     315409.061    52.5       2.1      1594
3            212109.302     252619.139    16.0       3.5      1554
4            215385.278     231317.741     6.9       5.1      1336
5            215385.278     226443.427     4.9       6.6       750
6            215385.278     225213.040     4.4       8.5       291
7            215385.278     224891.730     4.2      10.2       140
8            215385.278     224775.492     4.2      12.1        56
9            215385.278     224746.221     4.2      13.8        17
10           215385.278     224741.247     4.2      15.4        14
11           215385.278     224730.417     4.2      17.0         6
12           215385.278     224727.231     4.2      18.6         5
13           215385.278     224726.625     4.2      20.2         1
14           215385.278     224725.727     4.2      21.8         0

CPU time spent in the first stage: 23.30 sec
Upper bound returned at the end of the first stage: 224725.727151
Objective value of the optimal solution or the best incumbent at the end of the first stage: 215385.278254
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 910
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 1714 rows, 1000 columns and 17374 nonzeros
Model fingerprint: 0xc7a2d534
Variable types: 800 continuous, 200 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e-09, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-04, 4e+05]
Warning: Model contains large matrix coefficient range
         Consider reformulating model or setting NumericFocus parameter
         to avoid numerical issues.

Loaded user MIP start with objective 215385

Presolve removed 806 rows and 0 columns
Presolve time: 0.03s
Presolved: 908 rows, 1000 columns, 13528 nonzeros
Variable types: 800 continuous, 200 integer (200 binary)

Root relaxation: objective 2.247257e+05, 313 iterations, 0.01 seconds (0.02 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 224725.727    0  107 215385.278 224725.727  4.34%     -    0s
     0     0 224720.872    0  102 215385.278 224720.872  4.33%     -    1s
     0     2 224720.572    0  102 215385.278 224720.572  4.33%     -    1s
H   62    60                    219373.27128 224714.928  2.43%  64.7    3s
*   63    60              55    219373.31990 224714.928  2.43%  63.8    3s
   130   125 220167.247   61   10 219373.320 224713.630  2.43%  70.1    5s
*  139   128              70    219705.85528 224713.630  2.28%  67.3    5s
*  208   188              60    219888.73565 224671.771  2.18%  69.2    6s
H  243   146                    221820.76152 224670.888  1.28%  78.3    8s
   302   189 224050.323    5  104 221820.762 224642.073  1.27%  80.3   10s
   446   299 223688.673    8   95 221820.762 224596.125  1.25%  83.7   15s
   578   379 222968.961   11   91 221820.762 224534.180  1.22%  90.7   20s
   592   391 223115.689   24  105 221820.762 224386.999  1.16%  90.7   29s
   593   392 223686.081    9  111 221820.762 224177.779  1.06%  90.6   33s
   597   395 222368.143   19  110 221820.762 224123.560  1.04%  89.9   35s
   602   398 222453.344   37  117 221820.762 224040.021  1.00%  89.2   41s
   605   400 223131.721   15  118 221820.762 223965.564  0.97%  88.8   46s
   607   401 222502.431   22  121 221820.762 223965.564  0.97%  88.5   52s
   611   406 223949.667   16  114 221820.762 223954.191  0.96%  95.0   55s
   626   416 223471.299   23   96 221820.762 223923.167  0.95%  97.7   60s
   646   429 222831.989   33   82 221820.762 223923.167  0.95%   100   65s
   673   446 222546.093   47   57 221820.762 223923.167  0.95%   102   70s
   741   478 223342.515   27   91 221820.762 223910.559  0.94%   102   75s
   825   521 223561.883   18  107 221820.762 223833.283  0.91%   103   80s
   874   553 222320.067   42   66 221820.762 223833.283  0.91%   108   85s
   942   584 222607.808   29   83 221820.762 223832.896  0.91%   110   90s
  1025   620 222909.332   23   90 221820.762 223828.529  0.91%   111   95s
  1115   669 221831.687   40   58 221820.762 223827.384  0.90%   115  100s
  1199   687 223458.483   21  106 221820.762 223790.580  0.89%   115  105s
  1258   726 222370.653   50   26 221820.762 223790.580  0.89%   117  110s
* 1277   557              60    222189.80968 223790.580  0.72%   117  110s
  1332   578 222623.338   28   91 222189.810 223757.167  0.71%   119  115s
  1387   594 223307.648   21  104 222189.810 223615.369  0.64%   121  120s
  1467   625 223473.684   22  105 222189.810 223587.322  0.63%   123  125s
  1579   685 222265.085   59   21 222189.810 223577.081  0.62%   123  130s
  1646   717 222408.429   36   88 222189.810 223561.484  0.62%   124  135s
  1693   728 222825.977   22   97 222189.810 223553.232  0.61%   124  140s
  1757   745 222342.903   32   93 222189.810 223538.570  0.61%   125  145s
  1824   784 222866.520   32   98 222189.810 223522.608  0.60%   126  150s
  1877   809 223340.664   23  111 222189.810 223493.327  0.59%   126  155s
  1966   870 222461.210   33   94 222189.810 223483.177  0.58%   127  160s
