Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     353463.490   100.0       0.2       800
2            149683.237     315409.061    52.5       1.1      1594
3            194868.140     269971.278    27.8       2.2      1589
4            212886.544     242526.872    12.2       3.7      1480
5            213377.577     235237.980     9.3       5.0      1252
6            213377.577     232440.484     8.2       6.9       812
7            213377.577     230569.561     7.5       8.8       508
8            213377.577     229298.962     6.9      10.9       306
9            213377.577     228669.665     6.7      12.8       167
10           213377.577     228456.023     6.6      14.5        80
11           213377.577     228354.142     6.6      16.1        77
12           213377.577     228254.729     6.5      17.7        34
13           213377.577     228244.235     6.5      19.3         8
14           213377.577     228243.162     6.5      20.8         2
15           213377.577     228242.859     6.5      22.2         0

CPU time spent in the first stage: 24.51 sec
Upper bound returned at the end of the first stage: 228242.858923
Objective value of the optimal solution or the best incumbent at the end of the first stage: 213377.577031
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 921
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 1726 rows, 1000 columns and 16490 nonzeros
Model fingerprint: 0x720551e5
Variable types: 800 continuous, 200 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e-06, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-04, 4e+05]

Loaded user MIP start with objective 213378

Presolve removed 804 rows and 0 columns
Presolve time: 0.03s
Presolved: 922 rows, 1000 columns, 11690 nonzeros
Variable types: 800 continuous, 200 integer (200 binary)

Root relaxation: objective 2.282376e+05, 311 iterations, 0.03 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 228237.569    0  114 213377.577 228237.569  6.96%     -    0s
     0     0 228237.569    0  114 213377.577 228237.569  6.96%     -    0s
     0     2 228235.478    0  114 213377.577 228235.478  6.96%     -    0s
H   99    99                    214037.18178 228234.069  6.63%  58.1    2s
*  100    94              91    216037.15710 228234.069  5.65%  57.7    2s
   174   164 218413.052   59   13 216037.157 228232.237  5.64%  67.6    5s
*  211   164              96    218057.43039 228232.237  4.67%  57.6    5s
   351   288 219420.189   71    6 218057.430 228138.534  4.62%  60.0   10s
*  366   271              86    218389.61933 228138.534  4.46%  58.1   10s
*  455   282              79    220038.84190 228089.196  3.66%  59.4   13s
   478   297 224835.980   22   71 220038.842 228084.570  3.66%  61.8   15s
   549   349 221386.372   47  114 220038.842 228033.908  3.63%  63.1   21s
   551   350 224597.577   23  116 220038.842 228033.908  3.63%  62.9   30s
   552   351 220528.391   41  115 220038.842 227519.496  3.40%  62.7   35s
   556   354 225162.613   24  119 220038.842 227179.952  3.25%  62.3   45s
   563   358 222368.392   45  123 220038.842 227030.085  3.18%  61.5   51s
   570   364 222960.053   35  116 220038.842 227030.085  3.18%  68.5   60s
   571   365 225612.896   24  120 220038.842 227030.085  3.18%  68.4   66s
   575   368 226777.708   13  123 220038.842 227030.085  3.18%  67.9   70s
   579   370 222735.248   31  120 220038.842 226884.183  3.11%  67.4   76s
   583   373 224826.740   20  121 220038.842 226883.849  3.11%  66.9   81s
   586   377 226740.772   24  109 220038.842 226825.369  3.08%  74.6   85s
   594   382 226513.139   28  104 220038.842 226795.762  3.07%  76.1   90s
   604   389 226137.035   33   99 220038.842 226795.762  3.07%  77.6   95s
   613   395 225738.384   37   95 220038.842 226795.762  3.07%  78.9  100s
   621   400 225389.190   41   83 220038.842 226795.762  3.07%  80.4  105s
   631   407 224793.724   46   74 220038.842 226795.762  3.07%  81.0  110s
   648   418 224222.623   55   73 220038.842 226795.762  3.07%  82.2  115s
   699   452 222899.203   80   46 220038.842 226795.762  3.07%  84.7  120s
   735   461 226738.029   24  118 220038.842 226791.534  3.07%  85.6  125s
   751   472 225963.258   32  105 220038.842 226791.534  3.07%  89.6  130s
   776   489 224634.763   45   99 220038.842 226791.534  3.07%  93.6  135s
   822   519 222883.849   68   70 220038.842 226791.534  3.07%  95.5  140s
   912   578 220249.888  113   25 220038.842 226791.534  3.07%  93.5  145s
   947   588 225961.740   28  109 220038.842 226667.920  3.01%  93.5  150s
   966   600 224482.598   37   88 220038.842 226667.920  3.01%  96.0  155s
  1015   633 223244.191   62   61 220038.842 226667.920  3.01%  97.6  160s
  1077   664 226211.346   25  106 220038.842 226667.858  3.01%  96.5  165s
  1101   680 224829.095   37   87 220038.842 226667.858  3.01%   100  170s
  1164   722 222946.847   69   57 220038.842 226667.858  3.01%   102  175s
  1212   744 226376.820   25  112 220038.842 226655.421  3.01%   101  180s
