Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 800 rows, 1100 columns and 800 nonzeros
Model fingerprint: 0xc0da4112
Variable types: 800 continuous, 300 integer (300 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -8.24962e+14
Presolve removed 800 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1100 columns, 0 nonzeros
Variable types: 800 continuous, 300 integer (300 binary)
Found heuristic solution: objective -8.24962e+14

Root relaxation: objective 3.513363e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 351336.282    0    - -8.250e+14 351336.282   100%     -    0s
     0     0 298087.380    0   62 -8.250e+14 298087.380   100%     -    0s
H    0     0                    138707.64096 298087.380   115%     -    2s
     0     0 237868.685    0  107 138707.641 237868.685  71.5%     -    2s
H    0     0                    170140.33734 237632.901  39.7%     -    3s
H    0     0                    171446.75863 237632.901  38.6%     -    3s
     0     2 209663.810    0   94 171446.759 209663.810  22.3%     -    4s
     4     6 209270.817    3   91 171446.759 209663.810  22.3%  28.2    5s
    30    32 196477.696   20   90 171446.759 209663.810  22.3%   124   11s
    36    38 193668.294   24   93 171446.759 209663.810  22.3%   193   15s
    77    79 191221.043   53   62 171446.759 209663.810  22.3%   141   20s
   167   169 196618.794    1  125 171446.759 209525.960  22.2%   104   26s
   213   215 193912.393   40   71 171446.759 209525.960  22.2%  97.4   30s
   233   235 188812.529   53   59 171446.759 209525.960  22.2%   108   35s
H  285   274                    187252.60085 209525.960  11.9%  98.5   38s
   298   277 195105.539    2  121 187252.601 209403.671  11.8%   102   41s
   303   282 194639.737    7  110 187252.601 209403.671  11.8%   103   45s
   346   325 192019.522   39   72 187252.601 209403.671  11.8%   104   50s
*  416   242              99    190574.47818 209403.671  9.88%  95.1   53s
   421   239 194122.285    5  114 190574.478 209372.530  9.86%   102   55s
   474   292 191046.693   46   60 190574.478 209372.530  9.86%   100   60s
   516   324 192674.129   18   87 190574.478 209265.836  9.81%   101   65s
   529   336 191554.231   48  107 190574.478 209265.836  9.81%   100   85s
   531   337 192092.209   39  123 190574.478 194893.093  2.27%   100  104s
   532   338 194342.958   25  140 190574.478 194342.958  1.98%   100  114s
   534   339 191024.609   71  141 190574.478 194342.958  1.98%   100  115s
   536   341 194342.958    9  144 190574.478 194342.958  1.98%  99.1  120s
   537   341 191505.484   42  147 190574.478 194159.227  1.88%  99.0  128s
   540   343 192598.772   21  151 190574.478 194155.243  1.88%  98.4  130s
   541   344 194153.294   25  151 190574.478 194153.294  1.88%  98.2  136s
   542   345 194068.131   18  150 190574.478 194068.131  1.83%  98.1  145s
   545   347 191760.461   42  149 190574.478 194053.533  1.83%  97.5  152s
   546   347 193727.344    7  149 190574.478 193979.477  1.79%  97.3  161s
   549   349 193025.740   19  150 190574.478 193973.051  1.78%  96.8  168s
   550   350 190617.817   93  149 190574.478 193950.716  1.77%  96.6  170s
   555   353 191385.695   45  155 190574.478 193930.382  1.76%  95.8  175s
   559   356 193278.078   17  155 190574.478 193930.382  1.76%  95.1  182s
   563   359 193925.242    4  157 190574.478 193925.242  1.76%  94.4  185s
   566   363 193762.762   15  150 190574.478 193925.242  1.76%   115  190s
   569   365 193763.302   16  148 190574.478 193838.022  1.71%   116  195s
   574   368 193552.094   19  138 190574.478 193838.022  1.71%   118  200s
   579   371 193290.623   21  125 190574.478 193838.022  1.71%   120  205s
   584   375 193267.182   24  114 190574.478 193838.022  1.71%   122  210s
   591   379 193077.591   27  108 190574.478 193838.022  1.71%   124  215s
   599   385 192684.374   31   96 190574.478 193838.022  1.71%   124  220s
   606   389 192657.654   35  101 190574.478 193838.022  1.71%   124  227s
   611   393 192246.727   37   96 190574.478 193838.022  1.71%   126  230s
   619   398 191939.620   41   93 190574.478 193838.022  1.71%   126  235s
   628   404 191893.469   46   91 190574.478 193838.022  1.71%   127  240s
   637   410 191627.021   50   90 190574.478 193838.022  1.71%   127  245s
   660   425 191331.538   62   60 190574.478 193838.022  1.71%   127  250s
   721   440 193775.028   15  145 190574.478 193837.634  1.71%   120  257s
   723   441 193687.743   16  146 190574.478 193837.634  1.71%   121  261s
   727   444 193349.628   18  140 190574.478 193837.634  1.71%   122  266s
   737   451 193002.142   23  108 190574.478 193837.634  1.71%   124  270s
   755   463 192710.455   32   98 190574.478 193837.634  1.71%   125  275s
   780   479 191911.132   45   80 190574.478 193837.634  1.71%   125  280s
   810   499 190918.340   60   69 190574.478 193837.634  1.71%   126  285s
