Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     332918.263   100.0       0.3       800
2            134333.198     282673.414    52.5       1.4      1376
3            162340.775     216262.933    24.9       3.1      1357
4            170069.616     191126.204    11.0       4.6      1258
5            170069.616     185073.309     8.1       6.4       910
6            170069.616     182536.007     6.8       8.4       517
7            170069.616     181216.987     6.2      10.4       287
8            170069.616     180595.135     5.8      12.5       169
9            170069.616     180290.829     5.7      14.4       123
10           170069.616     180135.822     5.6      16.2        44
11           170069.616     180086.720     5.6      18.0        25
12           170069.616     180033.628     5.5      19.6        30
13           170069.616     179984.047     5.5      21.5        13
14           170069.616     179982.782     5.5      23.1         9
15           170069.616     179949.161     5.5      24.7        12
16           170069.616     179935.933     5.5      26.4         5
17           170069.616     179932.503     5.5      28.2         1
18           170069.616     179930.906     5.5      29.8         2
19           170069.616     179929.892     5.5      31.4         0

CPU time spent in the first stage: 33.37 sec
Upper bound returned at the end of the first stage: 179929.892399
Objective value of the optimal solution or the best incumbent at the end of the first stage: 170069.616059
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 1007
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 1811 rows, 1100 columns and 19553 nonzeros
Model fingerprint: 0xf424c88b
Variable types: 800 continuous, 300 integer (0 binary)
Coefficient statistics:
  Matrix range     [3e-06, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [2e-04, 4e+05]

Loaded user MIP start with objective 170070

Presolve removed 803 rows and 0 columns
Presolve time: 0.04s
Presolved: 1008 rows, 1100 columns, 15453 nonzeros
Variable types: 800 continuous, 300 integer (300 binary)

Root relaxation: objective 1.799207e+05, 356 iterations, 0.02 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 179920.696    0  120 170069.616 179920.696  5.79%     -    0s
     0     0 179918.153    0  120 170069.616 179918.153  5.79%     -    0s
     0     2 179914.910    0  120 170069.616 179914.910  5.79%     -    0s
H   74    74                    171028.26647 179914.910  5.20%  30.4    1s
H   77    77                    171028.41216 179914.910  5.20%  29.3    1s
H   81    70                    173024.15329 179914.910  3.98%  28.0    1s
   299   259 177973.377   28   68 173024.153 179795.615  3.91%  45.9    5s
*  427   300              93    175180.45766 179752.037  2.61%  44.8    7s
   539   394 177862.605   18   66 175180.458 179737.473  2.60%  44.5   10s
   549   402 177862.890   19  123 175180.458 179737.473  2.60%  44.1   17s
   550   403 177449.810   26  129 175180.458 179459.403  2.44%  44.0   21s
   554   406 179156.695    7  125 175180.458 179156.695  2.27%  43.7   26s
   561   410 178485.585   24  128 175180.458 179030.821  2.20%  43.1   30s
   582   426 178277.995   24   99 175180.458 178979.428  2.17%  53.0   35s
   606   442 177737.120   36   90 175180.458 178979.428  2.17%  55.0   40s
   677   478 178882.034   16  118 175180.458 178977.452  2.17%  57.2   45s
   745   523 177152.198   50   64 175180.458 178977.452  2.17%  62.1   50s
   848   578 178525.228   20  118 175180.458 178956.140  2.16%  61.2   55s
   909   618 176947.272   51   75 175180.458 178956.140  2.16%  64.8   60s
  1074   682 178481.495   19  116 175180.458 178956.001  2.16%  60.3   65s
  1255   773 178783.851   17  120 175180.458 178911.316  2.13%  60.2   71s
  1339   829 176498.279   59   53 175180.458 178911.316  2.13%  62.9   75s
  1448   879 178593.457   24  115 175180.458 178910.273  2.13%  62.4   80s
  1519   926 176478.016   59   67 175180.458 178910.273  2.13%  64.9   85s
  1635   980 178427.663   22  115 175180.458 178808.055  2.07%  64.1   90s
  1750  1057 175651.771   79   31 175180.458 178808.055  2.07%  65.4   95s
  1809  1079 177211.967   42   75 175180.458 178808.018  2.07%  67.3  100s
  1883  1139 178202.841   25  111 175180.458 178770.445  2.05%  68.0  105s
  1972  1226 175308.492   71   40 175180.458 178770.445  2.05%  68.8  110s
  2014  1251 177436.965   31   88 175180.458 178768.152  2.05%  69.8  115s
H 2078  1246                    175375.36870 178768.152  1.93%  69.8  117s
H 2104  1268                    175385.54241 178768.152  1.93%  69.3  118s
  2130  1288 177500.067   33   96 175385.542 178764.656  1.93%  70.0  120s
  2208  1366 175870.323   74   41 175385.542 178764.656  1.93%  70.1  125s
  2266  1410 177798.785   28  107 175385.542 178762.863  1.93%  70.3  130s
  2320  1464 176334.592   51   68 175385.542 178762.863  1.93%  71.0  135s
  2354  1489 178278.200   20  124 175385.542 178747.470  1.92%  71.3  140s
  2380  1515 177561.791   29  100 175385.542 178747.470  1.92%  72.4  145s
