Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     352517.561   100.0       0.3       800
2            133551.513     294009.228    54.6       1.5      1584
3            165510.447     221979.750    25.4       3.6      1539
4            172570.751     195379.712    11.7       5.0      1306
5            174200.227     188998.682     7.8       6.7       893
6            174200.227     186656.530     6.7       9.1       559
7            174200.227     185178.764     5.9      11.4       284
8            174200.227     184587.457     5.6      13.8       152
9            174200.227     184288.747     5.5      16.0        86
10           174200.227     184159.059     5.4      18.2        42
11           174200.227     184114.306     5.4      20.4        21
12           174200.227     184085.180     5.4      22.7        14
13           174200.227     184077.128     5.4      24.8         6
14           174200.227     184073.160     5.4      26.9         2
15           174200.227     184072.786     5.4      29.0         0

CPU time spent in the first stage: 31.29 sec
Upper bound returned at the end of the first stage: 184072.786068
Objective value of the optimal solution or the best incumbent at the end of the first stage: 174200.227005
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 963
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 1768 rows, 1200 columns and 22160 nonzeros
Model fingerprint: 0x0fa6552a
Variable types: 800 continuous, 400 integer (0 binary)
Coefficient statistics:
  Matrix range     [1e-06, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [9e-05, 4e+05]

Loaded user MIP start with objective 174200

Presolve removed 804 rows and 0 columns
Presolve time: 0.04s
Presolved: 964 rows, 1200 columns, 16560 nonzeros
Variable types: 800 continuous, 400 integer (400 binary)

Root relaxation: objective 1.840598e+05, 405 iterations, 0.02 seconds (0.03 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 184059.811    0  127 174200.227 184059.811  5.66%     -    0s
     0     0 183837.414    0  119 174200.227 183837.414  5.53%     -    0s
     0     0 183792.592    0  126 174200.227 183792.592  5.51%     -    1s
     0     2 183775.490    0  126 174200.227 183775.490  5.50%     -    1s
   406   398 178566.681  121   43 174200.227 183659.032  5.43%  31.9    5s
*  509   375             209    176187.44685 183659.032  4.24%  29.1    5s
   527   381 179213.128   66  138 176187.447 183658.802  4.24%  29.7   12s
   534   386 182445.350   33  136 176187.447 183203.840  3.98%  29.3   15s
   553   400 176487.221  140  136 176187.447 182887.006  3.80%  34.0   22s
   560   405 182847.933    8  131 176187.447 182847.933  3.78%  33.6   25s
   592   428 182399.220   35  100 176187.447 182753.453  3.73%  41.6   30s
   670   480 181079.217   74   72 176187.447 182753.453  3.73%  44.1   35s
H  759   480                    179934.58782 182753.453  1.57%  44.2   36s
   807   497 181934.568   47   92 179934.588 182753.084  1.57%  46.8   40s
H  867   500                    180206.46388 182753.084  1.41%  48.6   41s
   921   513 182208.098   33  124 180206.464 182683.660  1.37%  51.2   45s
  1017   558 182334.918   29  128 180206.464 182682.304  1.37%  54.0   50s
* 1184   517             113    180888.71454 182682.304  0.99%  53.9   54s
  1205   517 182235.485   35  109 180888.715 182681.055  0.99%  54.7   55s
  1381   625 181228.355   66   46 180888.715 182674.311  0.99%  57.6   60s
* 1434   538              96    181127.10510 182674.311  0.85%  56.3   60s
  1536   589 181927.468   39   97 181127.105 182633.684  0.83%  58.8   65s
  1677   681 182030.434   36  114 181127.105 182560.921  0.79%  60.4   70s
  1823   797 182195.302   33  119 181127.105 182538.181  0.78%  62.6   75s
  1951   911 181595.988   48   85 181127.105 182536.683  0.78%  64.3   80s
H 2011   939                    181171.23207 182528.126  0.75%  64.8   83s
  2062   974 181985.235   35  121 181171.232 182515.006  0.74%  65.4   85s
H 2115  1010                    181180.99695 182514.982  0.74%  66.3   87s
  2166  1043 181484.580   46   89 181180.997 182483.160  0.72%  66.8   90s
H 2226   868                    181351.39012 182470.143  0.62%  67.7   94s
  2237   867 182036.417   35  116 181351.390 182465.050  0.61%  67.9   95s
H 2253   790                    181431.33436 182456.889  0.57%  68.1   97s
  2280   812 181689.479   39  112 181431.334 182456.734  0.57%  68.7  100s
  2334   841 181718.752   42   95 181431.334 182419.376  0.54%  69.0  106s
  2410   868 182056.718   37  111 181431.334 182408.418  0.54%  69.4  110s
  2441   885 181734.877   40  109 181431.334 182398.862  0.53%  69.5  115s
  2523   922 181748.451   39  111 181431.334 182396.927  0.53%  70.1  120s
  2623   970 182034.108   31  125 181431.334 182387.567  0.53%  71.4  125s
  2712  1020 181914.219   38  118 181431.334 182376.159  0.52%  72.1  130s
  2839  1083 181690.104   41  102 181431.334 182365.922  0.52%  73.1  135s
  2958  1123 182087.505   32  126 181431.334 182358.002  0.51%  73.6  140s
