Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     355221.772   100.0       0.3       800
2            138352.680     291570.352    52.5       1.7      1588
3            153708.222     222036.085    30.8       3.6      1561
4            170934.989     197590.948    13.5       5.2      1488
5            170934.989     190907.391    10.5       7.0      1170
6            170934.989     187498.557     8.8       9.3       728
7            170934.989     186032.275     8.1      12.5       430
8            170934.989     185191.737     7.7      15.7       326
9            170934.989     184645.143     7.4      18.8       164
10           170934.989     184366.462     7.3      22.0       149
11           170934.989     184227.484     7.2      24.9        86
12           170934.989     184133.722     7.2      27.8        52
13           170934.989     184090.134     7.1      30.7        17
14           170934.989     184080.290     7.1      33.7         8
15           170934.989     184071.793     7.1      36.8        10
16           170934.989     184059.087     7.1      39.8        10
17           170934.989     184057.678     7.1      42.7         1
18           170934.989     184057.674     7.1      45.6         0

CPU time spent in the first stage: 48.86 sec
Upper bound returned at the end of the first stage: 184057.674195
Objective value of the optimal solution or the best incumbent at the end of the first stage: 170934.988953
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 952
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 1756 rows, 1200 columns and 25226 nonzeros
Model fingerprint: 0x5fd90026
Variable types: 800 continuous, 400 integer (0 binary)
Coefficient statistics:
  Matrix range     [2e-07, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [1e-04, 4e+05]

Loaded user MIP start with objective 170935

Presolve removed 803 rows and 0 columns
Presolve time: 0.05s
Presolved: 953 rows, 1200 columns, 20826 nonzeros
Variable types: 800 continuous, 400 integer (400 binary)

Root relaxation: objective 1.840533e+05, 384 iterations, 0.04 seconds (0.05 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 184053.288    0  145 170934.989 184053.288  7.67%     -    0s
     0     0 184051.075    0  142 170934.989 184051.075  7.67%     -    1s
     0     2 184046.736    0  142 170934.989 184046.736  7.67%     -    1s
H  104   104                    171780.72625 184043.694  7.14%  42.7    2s
   202   193 183441.952   11  110 171780.726 183977.942  7.10%  46.5    5s
   395   346     cutoff   77      171780.726 183950.664  7.08%  51.5   10s
*  514   388             112    173898.79374 183945.500  5.78%  49.8   13s
   542   408 181629.591   21   90 173898.794 183934.346  5.77%  51.7   15s
   551   416 175309.946   59  142 173898.794 183934.346  5.77%  51.7   20s
   553   417 183433.589    6  141 173898.794 183934.346  5.77%  51.5   29s
   554   418 180744.785   32  144 173898.794 183384.292  5.45%  51.4   34s
   556   419 183196.584    8  150 173898.794 183316.792  5.42%  51.2   35s
   559   421 179373.851   41  149 173898.794 182957.306  5.21%  51.0   41s
   564   425 173978.222   88  151 173898.794 182925.617  5.19%  50.5   45s
   570   430 179604.240   47  142 173898.794 182925.617  5.19%  56.8   57s
   571   431 182225.961   39  143 173898.794 182925.617  5.19%  56.7   62s
   576   434 182850.525   21  153 173898.794 182850.525  5.15%  56.2   65s
   584   442 182780.206   23  156 173898.794 182806.443  5.12%  61.8   71s
   592   447 182532.412   27  142 173898.794 182755.024  5.09%  63.3   75s
   605   456 182100.809   33  124 173898.794 182755.024  5.09%  65.7   80s
   608   458 181780.524   35  135 173898.794 182755.024  5.09%  67.4   85s
   619   465 181429.790   40  128 173898.794 182755.024  5.09%  70.1   90s
   633   474 180821.904   47  119 173898.794 182755.024  5.09%  71.1   95s
   646   483 180926.876   54  124 173898.794 182755.024  5.09%  72.1  100s
   659   492 180571.077   60  109 173898.794 182755.024  5.09%  73.5  105s
   686   510 180267.876   74  101 173898.794 182755.024  5.09%  73.6  110s
   742   547 179288.958  102   77 173898.794 182755.024  5.09%  73.8  115s
   812   594 174698.966  137   56 173898.794 182755.024  5.09%  73.2  120s
   901   618 182678.760   24  149 173898.794 182748.674  5.09%  68.9  126s
   915   627 181993.741   31  126 173898.794 182748.674  5.09%  71.9  130s
   951   651 180839.368   49  113 173898.794 182748.674  5.09%  74.2  135s
   986   675 180370.351   67   98 173898.794 182748.674  5.09%  75.9  140s
  1041   711 179197.620   94   78 173898.794 182748.674  5.09%  76.4  145s
  1125   766 174273.202  136   49 173898.794 182748.674  5.09%  75.5  150s
  1192   775 182638.303   24  150 173898.794 182680.589  5.05%  73.1  155s
  1206   784 181844.832   31  125 173898.794 182680.589  5.05%  75.6  160s
  1240   807 180968.379   48  109 173898.794 182680.589  5.05%  78.2  165s
  1286   838 179799.538   71   87 173898.794 182680.589  5.05%  79.7  170s
