Set parameter TimeLimit to value 7200
Setting B&C+SI: The proposed B&C algorithm based on formulation (16) (equipped with the submodular inequalities).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000     332442.538   100.0       0.3       800
2            120465.077     271767.659    55.7       1.4      1384
3            145869.322     195335.030    25.3       3.0      1358
4            150208.705     171014.718    12.2       4.3      1278
5            150208.705     166070.229     9.6       6.3       896
6            150208.705     163848.661     8.3       8.6       470
7            150208.705     162802.348     7.7      10.9       312
8            150208.705     162372.052     7.5      13.3       156
9            150208.705     162195.435     7.4      15.4        84
10           150208.705     162123.507     7.3      17.5        51
11           150208.705     162098.871     7.3      19.6        34
12           150208.705     162079.126     7.3      21.7        23
13           150208.705     162061.925     7.3      23.7        11
14           150208.705     162045.866     7.3      25.8         7
15           150208.705     162040.393     7.3      28.1         1
16           150208.705     162039.627     7.3      30.1         5
17           150208.705     162038.928     7.3      32.1         4
18           150208.705     162038.325     7.3      34.1         1
19           150208.705     162038.325     7.3      36.2         0

CPU time spent in the first stage: 38.39 sec
Upper bound returned at the end of the first stage: 162038.324746
Objective value of the optimal solution or the best incumbent at the end of the first stage: 150208.704652
Number of cuts added at the end of the first stage for the initialization of the relaxed MILP problem: 993
Termination status of the first stage: LP Optimal

------------------ end of the first stage ------------------


----------------- start of the second stage ----------------

Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads


Warning: excessive time spent in model updates.
Consider calling update less frequently.

Optimize a model with 1797 rows, 1200 columns and 24855 nonzeros
Model fingerprint: 0x54c25db7
Variable types: 800 continuous, 400 integer (0 binary)
Coefficient statistics:
  Matrix range     [2e-07, 2e+03]
  Objective range  [1e+01, 2e+03]
  Bounds range     [1e+00, 1e+00]
  RHS range        [4e-04, 4e+05]

Loaded user MIP start with objective 150209

Presolve removed 803 rows and 0 columns
Presolve time: 0.05s
Presolved: 994 rows, 1200 columns, 20455 nonzeros
Variable types: 800 continuous, 400 integer (400 binary)

Root relaxation: objective 1.620200e+05, 424 iterations, 0.04 seconds (0.06 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 162019.969    0  135 150208.705 162019.969  7.86%     -    0s
     0     0 162017.057    0  134 150208.705 162017.057  7.86%     -    1s
     0     2 162016.632    0  134 150208.705 162016.632  7.86%     -    1s
H   81    81                    155594.05885 162001.498  4.12%  33.9    1s
H  163   155                    155820.73377 161996.330  3.96%  32.0    2s
*  177   134              84    157797.70961 161996.330  2.66%  29.9    2s
   288   223 161473.805    7  111 157797.710 161969.349  2.64%  36.9    5s
   547   451 161429.659   10  134 157797.710 161924.238  2.62%  38.9   12s
   549   452 160063.332   35  137 157797.710 161924.238  2.62%  38.7   17s
   550   453 159950.754   25  140 157797.710 161622.539  2.42%  38.6   20s
   558   458 160545.872   24  148 157797.710 161315.064  2.23%  38.1   25s
   565   464 161198.238   13  138 157797.710 161308.863  2.23%  42.8   32s
   566   465 161308.863    8  141 157797.710 161308.863  2.23%  42.7   35s
   579   476 161214.219   28  140 157797.710 161246.424  2.19%  46.8   40s
   606   494 160691.623   41  126 157797.710 161206.760  2.16%  50.1   45s
   628   508 160086.279   52  113 157797.710 161206.760  2.16%  52.9   50s
   656   527 159488.512   66  102 157797.710 161206.760  2.16%  56.1   55s
   806   624 158308.698  141   29 157797.710 161206.760  2.16%  54.8   60s
   919   673 160359.809   48  104 157797.710 161206.522  2.16%  54.6   65s
  1014   728 161066.152   28  134 157797.710 161144.247  2.12%  57.9   70s
  1070   765 159804.755   56   89 157797.710 161144.247  2.12%  60.5   75s
  1177   820 161024.884   29  136 157797.710 161142.407  2.12%  60.7   80s
  1261   876 159260.717   71   69 157797.710 161142.407  2.12%  64.0   85s
  1331   913 160497.722   36  109 157797.710 161125.849  2.11%  65.2   90s
  1386   950 159190.776   63   74 157797.710 161125.849  2.11%  67.4   95s
  1481   991 160191.562   37  115 157797.710 161123.339  2.11%  67.2  100s
  1571  1051 158411.780   82   31 157797.710 161123.339  2.11%  69.1  105s
  1639  1080 160300.607   43  115 157797.710 161049.633  2.06%  69.3  110s
  1737  1146 158382.913   92   33 157797.710 161049.633  2.06%  70.1  115s
  1815  1174 158906.008   59   75 157797.710 161047.481  2.06%  71.3  120s
  1918  1212 160238.929   40  119 157797.710 161038.083  2.05%  70.4  125s
  1972  1248 158912.660   67   86 157797.710 161038.083  2.05%  71.8  130s
  2051  1305 160585.219   31  131 157797.710 161037.931  2.05%  71.5  135s
  2119  1373 158660.810   71   61 157797.710 161037.931  2.05%  72.3  140s
  2151  1403 157989.653   91   37 157797.710 161037.931  2.05%  71.9  146s
  2181  1419 160302.788   39  114 157797.710 161003.154  2.03%  72.2  150s
  2222  1460 159124.055   63   73 157797.710 161003.154  2.03%  73.1  155s
