Set parameter TimeLimit to value 7200
Setting sB&C+LSI: The proposed B&C algorithm based on formulation (40) (equipped with the lifted submodular inequalities), with only the second stage implemented
Gurobi Optimizer version 11.0.1 build v11.0.1rc0 (linux64 - "CentOS Linux 7 (Core)")

CPU model: Intel(R) Xeon(R) Gold 6230R CPU @ 2.10GHz, instruction set [SSE2|AVX|AVX2|AVX512]
Thread count: 52 physical cores, 52 logical processors, using up to 1 threads

Optimize a model with 800 rows, 1200 columns and 800 nonzeros
Model fingerprint: 0xabfd814d
Variable types: 800 continuous, 400 integer (400 binary)
Coefficient statistics:
  Matrix range     [1e+00, 1e+00]
  Objective range  [1e+01, 2e+03]
  Bounds range     [0e+00, 0e+00]
  RHS range        [4e-04, 1e+00]
Found heuristic solution: objective -7.96256e+14
Presolve removed 800 rows and 0 columns
Presolve time: 0.00s
Presolved: 0 rows, 1200 columns, 0 nonzeros
Variable types: 800 continuous, 400 integer (400 binary)
Found heuristic solution: objective -7.96256e+14

Root relaxation: objective 3.324425e+05, 0 iterations, 0.00 seconds (0.00 work units)

    Nodes    |    Current Node    |     Objective Bounds      |     Work
 Expl Unexpl |  Obj  Depth IntInf | Incumbent    BestBd   Gap | It/Node Time

     0     0 332442.538    0    - -7.963e+14 332442.538   100%     -    0s
     0     0 271767.659    0   66 -7.963e+14 271767.659   100%     -    0s
     0     0 271767.659    0   66 -7.963e+14 271767.659   100%     -    6s
     0     0 192192.709    0   96 -7.963e+14 192192.709   100%     -    6s
H    0     0                    148601.24397 192138.011  29.3%     -    8s
H    0     0                    148641.59411 192138.011  29.3%     -    9s
     0     2 168723.231    0   82 148641.594 168723.231  13.5%     -    9s
     3     5 168687.387    2   79 148641.594 168708.760  13.5%  35.7   10s
    27    29 167758.880   19   82 148641.594 168689.556  13.5%  25.9   15s
    81    83 158169.308   67   39 148641.594 168689.556  13.5%  62.2   21s
   158   160 156555.037  131    1 148641.594 168689.556  13.5%  51.1   25s
   166   168 161224.890    6  105 148641.594 168685.022  13.5%  66.4   30s
   188   190 159640.730   22   86 148641.594 168685.022  13.5%  71.0   35s
   217   219 158251.531   44   61 148641.594 168685.022  13.5%  72.7   40s
*  274   259              91    156781.61372 168685.022  7.59%  65.4   42s
   289   266 160886.429   11  104 156781.614 168524.953  7.49%  70.2   45s
*  375   199              88    158454.22312 168524.953  6.36%  63.8   49s
   380   196 160706.619    3  108 158454.223 168499.045  6.34%  66.8   50s
   441   249 160135.257   12   96 158454.223 168485.888  6.33%  68.3   55s
   520   315 159388.442   19   75 158454.223 168461.726  6.32%  70.6   60s
   536   330 161320.705   32   96 158454.223 168461.726  6.32%  70.1  192s
   538   331 159005.514   31  122 158454.223 161487.227  1.91%  69.8  205s
   539   332 159142.644   25  140 158454.223 160846.973  1.51%  69.7  211s
   543   335 160773.564    4  137 158454.223 160773.564  1.46%  69.2  215s
   544   335 160537.583   36  146 158454.223 160537.583  1.31%  69.0  221s
   548   338 160492.692   36  148 158454.223 160492.692  1.29%  68.5  227s
   549   339 160414.786   10  150 158454.223 160414.786  1.24%  68.4  233s
   553   341 160067.330   14  154 158454.223 160401.222  1.23%  67.9  238s
   554   342 158822.399   33  151 158454.223 160358.692  1.20%  67.8  240s
   560   346 159827.838   33  158 158454.223 160336.681  1.19%  67.1  245s
   568   351 158556.817   48  158 158454.223 160331.886  1.18%  66.1  250s
   573   357 160171.568   11  147 158454.223 160331.886  1.18%  79.5  255s
   581   362 159858.459   15  131 158454.223 160331.886  1.18%  81.6  260s
   592   369 159905.961   21  107 158454.223 160331.886  1.18%  82.9  265s
   602   376 159697.754   26  103 158454.223 160331.886  1.18%  83.7  270s
   609   381 159614.324   29   89 158454.223 160331.886  1.18%  84.6  275s
   623   390 159310.673   36   80 158454.223 160331.886  1.18%  85.5  280s
H  677   385                    158798.42582 160331.886  0.97%  84.6  284s
   680   383 160278.109   11  144 158798.426 160308.880  0.95%  85.0  288s
   682   384 159870.254   12  136 158798.426 160308.880  0.95%  85.9  290s
   699   396 159876.919   21  118 158798.426 160308.880  0.95%  88.9  295s
   730   416 159173.625   36   86 158798.426 160308.880  0.95%  91.6  300s
   798   436 160097.651   12  144 158798.426 160218.291  0.89%  88.8  305s
   816   448 159666.357   21  127 158798.426 160218.291  0.89%  91.4  310s
   862   462 160112.636   13  135 158798.426 160217.409  0.89%  93.3  317s
   880   474 159413.118   22  112 158798.426 160217.409  0.89%  95.5  320s
   926   495 159602.801   15  127 158798.426 160216.934  0.89%  97.6  325s
   947   509 159369.972   26  116 158798.426 160216.934  0.89%   100  330s
   980   511 160184.065   14  140 158798.426 160216.880  0.89%   100  336s
   996   522 159507.634   22  107 158798.426 160216.880  0.89%   101  340s
  1024   540 159158.593   36   83 158798.426 160216.880  0.89%   102  345s
  1081   551 159575.648   19  131 158798.426 160204.276  0.89%   101  350s
  1126   564 160086.479   14  139 158798.426 160203.727  0.88%   102  358s
  1132   568 159842.837   17  123 158798.426 160203.727  0.88%   103  360s
  1182   589 160099.788   14  134 158798.426 160171.383  0.86%   105  367s
  1199   600 159615.293   24  117 158798.426 160171.383  0.86%   107  370s
