Set parameter TimeLimit to value 7200
Setting GBD: A two-stage implementation of the stage-of-the-art generalized Benders decomposition (GBD) approach proposed by Lin & Tian (2021).

----------------- start of the first stage -----------------

Iter     Best Incumbent      BestBound     Gap      Time  #VioCuts
1                 0.000    2059822.883   100.0       1.4      4999
2            598467.336    2034808.546    70.6       3.8      4997
3           1280875.636    1981372.272    35.4      12.1      4886
4           1517714.513    1913860.453    20.7      25.9      2040
5           1517714.513    1896408.266    20.0      31.7      1090
6           1517714.513    1892898.657    19.8      35.1       313
7           1517714.513    1892370.447    19.8      37.3        78
8           1517714.513    1892216.080    19.8      39.0        30
9           1517714.513    1892147.059    19.8      40.6        13
10          1517714.513    1892117.677    19.8      42.1         1
11          1517714.513    1892117.677    19.8      43.4         1
12          1517714.513    1892117.677    19.8      44.8         1
13          1517714.513    1892117.677    19.8      46.2         1
14          1517714.513    1892117.677    19.8      47.6         1
15          1517714.513    1892117.677    19.8      49.3         1
16          1517714.513    1892117.677    19.8      50.6         1
17          1517714.513    1892117.677    19.8      52.1         1
18          1517714.513    1892117.677    19.8      53.4         1
19          1517714.513    1892117.677    19.8      54.8         1
20          1517714.513    1892117.677    19.8      56.2         1
21          1517714.513    1892117.677    19.8      57.7         1
22          1517714.513    1892117.677    19.8      59.1         1
23          1517714.513    1892117.677    19.8      60.5         1
24          1517714.513    1892117.677    19.8      61.8         1
25          1517714.513    1892117.677    19.8      63.5         1
26          1517714.513    1892117.677    19.8      64.8         1
27          1517714.513    1892117.677    19.8      66.2         1
28          1517714.513    1892117.677    19.8      67.6         1
29          1517714.513    1892117.677    19.8      68.9         1
30          1517714.513    1892117.677    19.8      70.3         1
31          1517714.513    1892117.677    19.8      71.7         1
32          1517714.513    1892117.677    19.8      73.1         1
33          1517714.513    1892117.677    19.8      74.5         1
34          1517714.513    1892117.677    19.8      75.9         1
35          1517714.513    1892117.677    19.8      77.3         1
36          1517714.513    1892117.677    19.8      78.9         1
37          1517714.513    1892117.677    19.8      80.3         1
38          1517714.513    1892117.677    19.8      81.8         1
39          1517714.513    1892117.677    19.8      83.3         1
40          1517714.513    1892117.677    19.8      84.7         1
41          1517714.513    1892117.677    19.8      86.0         1
